[19/30] TrainAcc:0.7874, trainLoss:0.6382. Test: Overall Acc: 0.679919 Mean Acc: 0.442166 FreqW Acc: 0.531992 Mean IoU: 0.298289 Class IoU: 	class 0: 0.576746 	class 1: 0.000000 	class 2: 0.691721 	class 3: 0.098871 	class 4: 0.245176 	class 5: 0.177222 ,MaxTestAcc:0.7000.
[20/30] TrainAcc:0.8031, trainLoss:0.5653. Test: Overall Acc: 0.684562 Mean Acc: 0.410341 FreqW Acc: 0.530244 Mean IoU: 0.293380 Class IoU: 	class 0: 0.562809 	class 1: 0.000000 	class 2: 0.688243 	class 3: 0.041743 	class 4: 0.291711 	class 5: 0.175775 ,MaxTestAcc:0.7000.
[21/30] TrainAcc:0.8219, trainLoss:0.5280. Test: Overall Acc: 0.687920 Mean Acc: 0.436554 FreqW Acc: 0.534543 Mean IoU: 0.306647 Class IoU: 	class 0: 0.572494 	class 1: 0.000000 	class 2: 0.685966 	class 3: 0.102345 	class 4: 0.295187 	class 5: 0.183888 ,MaxTestAcc:0.7000.
[22/30] TrainAcc:0.8148, trainLoss:0.5602. Test: Overall Acc: 0.687937 Mean Acc: 0.443555 FreqW Acc: 0.533111 Mean IoU: 0.311140 Class IoU: 	class 0: 0.570550 	class 1: 0.000000 	class 2: 0.683733 	class 3: 0.106946 	class 4: 0.287907 	class 5: 0.217706 ,MaxTestAcc:0.7000.
[23/30] TrainAcc:0.8273, trainLoss:0.5416. Test: Overall Acc: 0.684436 Mean Acc: 0.442746 FreqW Acc: 0.529382 Mean IoU: 0.309405 Class IoU: 	class 0: 0.568670 	class 1: 0.000000 	class 2: 0.675096 	class 3: 0.101731 	class 4: 0.291501 	class 5: 0.219432 ,MaxTestAcc:0.7000.
[24/30] TrainAcc:0.8363, trainLoss:0.4913. Test: Overall Acc: 0.680493 Mean Acc: 0.442645 FreqW Acc: 0.525755 Mean IoU: 0.305796 Class IoU: 	class 0: 0.569335 	class 1: 0.000000 	class 2: 0.667121 	class 3: 0.102124 	class 4: 0.288753 	class 5: 0.207442 ,MaxTestAcc:0.7000.
[25/30] TrainAcc:0.8113, trainLoss:0.5342. Test: Overall Acc: 0.677067 Mean Acc: 0.441470 FreqW Acc: 0.522353 Mean IoU: 0.302660 Class IoU: 	class 0: 0.568828 	class 1: 0.000000 	class 2: 0.660462 	class 3: 0.103786 	class 4: 0.286901 	class 5: 0.195984 ,MaxTestAcc:0.7000.
[26/30] TrainAcc:0.8118, trainLoss:0.5237. Test: Overall Acc: 0.675609 Mean Acc: 0.439026 FreqW Acc: 0.520015 Mean IoU: 0.302544 Class IoU: 	class 0: 0.565242 	class 1: 0.000000 	class 2: 0.657061 	class 3: 0.104111 	class 4: 0.288967 	class 5: 0.199883 ,MaxTestAcc:0.7000.
[27/30] TrainAcc:0.8488, trainLoss:0.4523. Test: Overall Acc: 0.672977 Mean Acc: 0.438695 FreqW Acc: 0.516811 Mean IoU: 0.301096 Class IoU: 	class 0: 0.563240 	class 1: 0.000000 	class 2: 0.650849 	class 3: 0.107045 	class 4: 0.289979 	class 5: 0.195463 ,MaxTestAcc:0.7000.
[28/30] TrainAcc:0.8278, trainLoss:0.5126. Test: Overall Acc: 0.683944 Mean Acc: 0.446572 FreqW Acc: 0.529884 Mean IoU: 0.310084 Class IoU: 	class 0: 0.570493 	class 1: 0.000000 	class 2: 0.674171 	class 3: 0.106390 	class 4: 0.293197 	class 5: 0.216252 ,MaxTestAcc:0.7000.
[29/30] TrainAcc:0.8425, trainLoss:0.4664. Test: Overall Acc: 0.673151 Mean Acc: 0.443854 FreqW Acc: 0.518076 Mean IoU: 0.302892 Class IoU: 	class 0: 0.563901 	class 1: 0.000000 	class 2: 0.651177 	class 3: 0.102237 	class 4: 0.295367 	class 5: 0.204671 ,MaxTestAcc:0.7000.
[30/30] TrainAcc:0.8206, trainLoss:0.5141. Test: Overall Acc: 0.670879 Mean Acc: 0.441058 FreqW Acc: 0.515373 Mean IoU: 0.300918 Class IoU: 	class 0: 0.561529 	class 1: 0.000000 	class 2: 0.647092 	class 3: 0.102218 	class 4: 0.295264 	class 5: 0.199405 ,MaxTestAcc:0.7000.
[30/30] TrainAcc:0.8206, trainLoss:0.5141. Test: Overall Acc: 0.670879 Mean Acc: 0.441058 FreqW Acc: 0.515373 Mean IoU: 0.300918 Class IoU: 	class 0: 0.561529 	class 1: 0.000000 	class 2: 0.647092 	class 3: 0.102218 	class 4: 0.295264 	class 5: 0.199405 ,MaxTestAcc:0.7000.
[30/30] TrainAcc:0.8206, trainLoss:0.5141. Test: Overall Acc: 0.670879 Mean Acc: 0.441058 FreqW Acc: 0.515373 Mean IoU: 0.300918 Class IoU: 	class 0: 0.561529 	class 1: 0.000000 	class 2: 0.647092 	class 3: 0.102218 	class 4: 0.295264 	class 5: 0.199405 ,MaxTestAcc:0.7000.
